framework,guest,loading,cutoff_A,blocked_penalty,seed,max_iters,converged_iter,inaccessible,framework_clash,guest_overlap_molecules,total_violations,min_guest_framework_A,min_guest_guest_A
UiO-66,LiPF6,4,2.4,100.0,1,30000,-1,0,4,2,6,1.4406458873266446,2.1043618265798423
UiO-66,LiPF6,4,2.4,100.0,2,30000,-1,0,4,2,6,1.0090048525749937,2.29306727551585
UiO-66,LiPF6,4,2.6,100.0,0,30000,-1,0,3,4,7,1.1892751290876857,2.4682054272880913
UiO-66,LiPF6,4,2.6,100.0,1,30000,-1,0,3,2,5,1.2152398306189138,2.5208174244686368
UiO-66,LiPF6,4,2.6,100.0,2,30000,-1,0,4,4,8,1.70752601759192,2.2397268018895637
COF-5,EC,24,1.8,100.0,0,30000,1559,0,0,0,0,1.8639372299084682,1.8181481637404275
COF-5,EC,24,1.8,100.0,1,30000,2273,0,0,0,0,1.8133360735117876,1.8274686641604043
COF-5,EC,24,1.8,100.0,2,30000,2612,0,0,0,0,1.8848156717261348,1.8054251069512588
COF-5,EC,24,2.0,100.0,0,30000,9557,0,0,0,0,2.021333053254633,2.0055489534605484
COF-5,EC,24,2.0,100.0,1,30000,6716,0,0,0,0,2.0373628775958337,2.00751035124513
COF-5,EC,24,2.0,100.0,2,30000,9069,0,0,0,0,2.002267381634402,2.001420325736049
COF-5,EC,24,2.2,100.0,0,30000,18353,0,0,0,0,2.2113533233435088,2.2195422741036785
COF-5,EC,24,2.2,100.0,1,30000,24909,0,0,0,0,2.2004280628791304,2.200707565304366
COF-5,EC,24,2.2,100.0,2,30000,-1,0,1,5,6,2.198360298213158,1.9303438174610401
COF-5,EC,24,2.4,100.0,0,30000,-1,0,7,17,24,2.1117545710052346,2.098017226355948
COF-5,EC,24,2.4,100.0,1,30000,-1,0,6,13,19,2.300291620189002,2.29795691486458
COF-5,EC,24,2.4,100.0,2,30000,29792,0,0,0,0,2.400474569496985,2.4029808872377227
COF-5,EC,24,2.6,100.0,0,30000,-1,0,11,20,31,1.9883589016838672,1.7716438580548977
COF-5,EC,24,2.6,100.0,1,30000,-1,0,10,18,28,2.097833941369314,2.1308577667249136
COF-5,EC,24,2.6,100.0,2,30000,-1,0,13,19,32,2.000159293740628,2.0653161595108145
FAU,CO2,24,2.2,0.1,0,30000,322,0,0,0,0,2.2317361998212215,2.289211901807569
FAU,CO2,24,2.2,0.1,1,30000,198,0,0,0,0,2.203154216713492,2.3142807040250664
FAU,CO2,24,2.2,0.1,2,30000,112,0,0,0,0,2.2031250930201622,2.4911168662051195
FAU,CO2,24,2.2,0.1,3,30000,228,0,0,0,0,2.2197442564284198,2.205287559823015
FAU,CO2,24,2.2,0.1,4,30000,213,0,0,0,0,2.228166435093524,2.3434485398374343
FAU,CO2,24,2.2,1.0,0,30000,322,0,0,0,0,2.2317361998212215,2.289211901807569
FAU,CO2,24,2.2,1.0,1,30000,198,0,0,0,0,2.203154216713492,2.3142807040250664
FAU,CO2,24,2.2,1.0,2,30000,112,0,0,0,0,2.2031250930201622,2.4911168662051195
FAU,CO2,24,2.2,1.0,3,30000,228,0,0,0,0,2.2197442564284198,2.205287559823015
FAU,CO2,24,2.2,1.0,4,30000,213,0,0,0,0,2.228166435093524,2.3434485398374343
FAU,CO2,24,2.2,10.0,0,30000,322,0,0,0,0,2.2317361998212215,2.289211901807569
FAU,CO2,24,2.2,10.0,1,30000,198,0,0,0,0,2.203154216713492,2.3142807040250664
FAU,CO2,24,2.2,10.0,2,30000,112,0,0,0,0,2.2031250930201622,2.4911168662051195
FAU,CO2,24,2.2,10.0,3,30000,228,0,0,0,0,2.2197442564284198,2.205287559823015
FAU,CO2,24,2.2,10.0,4,30000,213,0,0,0,0,2.228166435093524,2.3434485398374343
FAU,CO2,24,2.2,100.0,0,30000,322,0,0,0,0,2.2317361998212215,2.289211901807569
FAU,CO2,24,2.2,100.0,1,30000,198,0,0,0,0,2.203154216713492,2.3142807040250664
FAU,CO2,24,2.2,100.0,2,30000,112,0,0,0,0,2.2031250930201622,2.4911168662051195
FAU,CO2,24,2.2,100.0,3,30000,228,0,0,0,0,2.2197442564284198,2.205287559823015
FAU,CO2,24,2.2,100.0,4,30000,213,0,0,0,0,2.228166435093524,2.3434485398374343
FAU,CO2,24,2.2,1000.0,0,30000,322,0,0,0,0,2.2317361998212215,2.289211901807569
FAU,CO2,24,2.2,1000.0,1,30000,198,0,0,0,0,2.203154216713492,2.3142807040250664
FAU,CO2,24,2.2,1000.0,2,30000,112,0,0,0,0,2.2031250930201622,2.4911168662051195
FAU,CO2,24,2.2,1000.0,3,30000,228,0,0,0,0,2.2197442564284198,2.205287559823015
FAU,CO2,24,2.2,1000.0,4,30000,213,0,0,0,0,2.228166435093524,2.3434485398374343
